subregion,Time,DP,Si,Sf,NDP,Stream,R,Lake,BI,Sub,Subsurface Irrigation (+),Tile Drain Outflow (-),P,Net Subsurface Inflow (+),Discrepancy (=),Cum. Sub.
14,10/31/1961 0:00,400,182372878.2,182356382.6,3552.52,0,0,0,465.12,21666.46,0,98.84,49390.44,7309.57,0,6579437.07
14,11/30/1961 0:00,552.22,182356382.6,182378740.2,3535.6,0,0,0,701.93,10638.29,0,95.23,1895.01,9472.04,0,6590075.36
14,12/31/1961 0:00,708.57,182378740.2,182398394.7,3511.06,0,0,0,640.37,6579.62,0,91.21,500,9514.72,0,6596654.98
14,1/31/1962 0:00,728.86,182398394.7,182416605.2,3481.17,0,0,0,451.53,4776.73,0,88.79,500,10089.84,0,6601431.71
14,2/28/1962 0:00,11215.7,182416605.2,182440297.8,3507.42,0,0,0,8302.68,2265.84,0,85.22,400,10101.89,0,6603697.55
14,3/31/1962 0:00,512.36,182440297.8,182448538.8,3493.84,0,0,0,1031.32,4255.66,0,83.22,5381.24,4924.55,0,6607953.21
14,4/30/1962 0:00,550,182448538.8,182412647.1,3471.7,0,0,0,581.57,7666.52,0,85.87,55937.59,8411.99,0,6615619.73
14,5/31/1962 0:00,548.64,182412647.1,182297603.9,3443.73,0,0,0,575.83,15613.36,0,88.92,141607.58,7020.42,0,6631233.09
14,6/30/1962 0:00,11682.64,182297603.9,182093833,3474.7,0,0,0,570.15,43623.22,0,93.18,258948.89,7603.07,0,6674856.31
14,7/31/1962 0:00,12769.71,182093833,181943127.3,3535.07,0,0,0,564.52,104209.42,0,98.1,269299.16,10382.62,0,6779065.73
14,8/31/1962 0:00,8202.37,181943127.3,181845659.8,3588.22,0,0,0,558.95,97175.44,0,101.21,210162.85,11473.9,0,6876241.17
14,9/30/1962 0:00,400,181845659.8,181870802.3,3594.84,0,0,0,553.43,23938.71,0,100.98,14819.9,11976.39,0,6900179.89
14,10/31/1962 0:00,417.41,181870802.3,181859616.2,3585.19,0,0,0,547.96,19571.23,0,98.22,44217.41,9425.13,0,6919751.11
14,11/30/1962 0:00,420.29,181859616.2,181853692,3564.43,0,0,0,542.56,14533.63,0,94.69,37699.06,13228.98,0,6934284.74
14,12/31/1962 0:00,532.64,181853692,181875912.2,3536.78,0,0,0,549.87,7371.2,0,90.51,500,11352.87,0,6941655.94
14,1/31/1963 0:00,690.93,181875912.2,181883015.7,3505.12,0,0,0,1404.75,6304.17,0,89.07,17249.82,13228.34,0,6947960.11
14,2/28/1963 0:00,940.8,181883015.7,181904419.7,3471.68,0,0,0,2614.03,3879.01,0,86.88,500,12026.2,0,6951839.12
14,3/31/1963 0:00,591.28,181904419.7,181862152.8,3435.78,0,0,0,855.3,9042.09,0,87.48,58112.9,2600.27,0,6960881.21
14,4/30/1963 0:00,668.57,181862152.8,181870843.8,3399.15,0,0,0,569.16,4821.46,0,86.55,9584.27,9572.1,0,6965702.66
14,5/31/1963 0:00,574.34,181870843.8,181764631.2,3362.01,0,0,0,511.2,15497.17,0,90.18,132964.72,7471.86,0,6981199.83
14,6/30/1963 0:00,16879.07,181764631.2,181565234.3,3439.72,0,0,0,506.16,44969.36,0,94.4,257827.88,9610.16,0,7026169.19
14,7/31/1963 0:00,13597.56,181565234.3,181416286.1,3519.37,0,0,0,501.16,106675.78,0,98.59,271625.18,12079.23,0,7132844.97
14,8/31/1963 0:00,8186.38,181416286.1,181321001.2,3586.34,0,0,0,496.22,95955.96,0,102.54,211229.56,16008.75,0,7228800.93
14,9/30/1963 0:00,421.22,181321001.2,181350725,3602.93,0,0,0,491.32,22685.2,0,103.89,10905.78,13954,0,7251486.13
14,10/31/1963 0:00,512.16,181350725,181370247,3601.25,0,0,0,486.47,13619.46,0,109.47,14271.4,16195.68,0,7265105.6
14,11/30/1963 0:00,578.22,181370247,181394429.2,3586.6,0,0,0,1230.35,7507.58,0,105.33,500,12463,0,7272613.18
14,12/31/1963 0:00,414.89,181394429.2,181415361.4,3562.7,0,0,0,476.91,5165.74,0,101.16,500,12328.01,0,7277778.92
14,1/31/1964 0:00,661.15,181415361.4,181399143.1,3533.8,0,0,0,490.44,7350.96,0,97.63,42292.49,14796.65,0,7285129.88
14,2/29/1964 0:00,501.08,181399143.1,181395725.5,3501.01,0,0,0,467.55,6065.68,0,96.13,26768.69,13413,0,7291195.56
14,3/31/1964 0:00,684.88,181395725.5,181338584.7,3466.49,0,0,0,462.93,10896.66,0,96.98,75534.32,3664.36,0,7302092.22
14,4/30/1964 0:00,540.43,181338584.7,181310794.8,3430.44,0,0,0,458.36,8996.12,0,99.52,49282.04,8706.76,0,7311088.33
14,5/31/1964 0:00,551.7,181310794.8,181200644.8,3393.73,0,0,0,453.84,19709.73,0,104.03,139574.47,5971.2,0,7330798.06
14,6/30/1964 0:00,17346.39,181200644.8,181010913.6,3474.12,0,0,0,449.36,56365.14,0,109.67,257681.98,7771.8,0,7387163.2
14,7/31/1964 0:00,13675.23,181010913.6,180874881.3,3555.63,0,0,0,444.93,115673.86,0,118.05,268345.26,12756.66,0,7502837.07
14,8/31/1964 0:00,7946.98,180874881.3,180783496.7,3621.87,0,0,0,440.54,94032.02,0,124.62,204214.01,14859.53,0,7596869.08
14,9/30/1964 0:00,419.51,180783496.7,180814714.5,3637.7,0,0,0,436.19,23349.73,0,127.12,10609.97,14531.31,0,7620218.81
14,10/31/1964 0:00,500.15,180814714.5,180834799.8,3634.71,0,0,0,431.89,14117,0,132.57,12848.79,14883.09,0,7634335.81
14,11/30/1964 0:00,495.91,180834799.8,180848471.9,3618.43,0,0,0,434.43,9470.71,0,129.13,13313.39,13591.05,0,7643806.52
14,12/31/1964 0:00,567.14,180848471.9,180870347.5,3593.79,0,0,0,694.37,5722.25,0,124.4,500,12489.59,0,7649528.77
14,1/31/1965 0:00,602.41,180870347.5,180878729.7,3563.9,0,0,0,419.23,5591.59,0,121.45,14909.6,13838.55,0,7655120.36
