subregion,Time,Ag. Area (AC),Potential CUAW,Ag. Supply Requirement,Ag. Pumping,Ag. Diversion,Ag. Shortage,Ag. Re-use,Urban Area (AC),Urban Supply Requirement,Urban Pumping,Urban Diversion,Urban Shortage,Urban Re-use,Import,Export
14,10/31/1972 12:00 AM,485900.40,9210.74,10705.49,0.00,29967.21,-19261.71,0.00,6324.03,900.01,900.01,0.00,0.00,0.00,29967.21,0.00
14,11/30/1972 12:00 AM,485900.40,0.00,0.00,0.00,12998.09,-12998.09,0.00,6324.03,600.00,600.00,0.00,0.00,0.00,12998.09,0.00
14,12/31/1972 12:00 AM,485900.40,0.00,0.00,0.00,15810.11,-15810.11,0.00,6324.03,600.00,600.00,0.00,0.00,0.00,15810.11,0.00
14,01/31/1973 12:00 AM,485900.40,0.00,0.00,0.00,32178.22,-32178.22,5688.04,6324.03,600.00,600.00,0.00,0.00,0.00,32178.22,0.00
14,02/28/1973 12:00 AM,485900.40,0.00,0.00,0.00,29760.21,-29760.21,5462.19,6324.03,500.00,500.00,0.00,0.00,0.00,29760.21,0.00
14,03/31/1973 12:00 AM,485900.40,0.00,0.00,0.00,26773.19,-26773.19,2370.70,6324.03,600.00,600.00,0.00,0.00,0.00,26773.19,0.00
14,04/30/1973 12:00 AM,485900.40,9728.03,11269.92,0.00,76806.53,-65536.61,0.00,6324.03,1300.01,1300.01,0.00,0.00,0.00,76806.53,0.00
14,05/31/1973 12:00 AM,485900.40,128547.86,146722.44,62056.43,84667.59,-1.58,0.00,6324.03,1500.01,1500.01,0.00,0.00,0.00,84667.59,0.00
14,06/30/1973 12:00 AM,485900.40,223518.90,263088.88,145454.11,117638.81,-4.04,7184.35,6324.03,1500.01,1500.01,0.00,0.00,0.00,117638.81,0.00
14,07/31/1973 12:00 AM,485900.40,248587.43,297528.58,156687.98,140844.97,-4.38,3694.42,6324.03,1600.01,1600.01,0.00,0.00,0.00,140844.97,0.00
14,08/31/1973 12:00 AM,485900.40,195074.37,234554.28,125311.07,109246.76,-3.54,2451.41,6324.03,1500.01,1500.01,0.00,0.00,0.00,109246.76,0.00
14,09/30/1973 12:00 AM,485900.40,7472.04,8505.09,0.00,31805.22,-23300.13,0.00,6324.03,1200.01,1200.01,0.00,0.00,0.00,31805.22,0.00
14,10/31/1973 12:00 AM,499122.49,18533.46,21518.37,0.00,22106.15,-587.78,0.00,6588.02,1000.01,1000.01,0.00,0.00,0.00,22106.15,0.00
14,11/30/1973 12:00 AM,499122.49,24125.87,30260.85,9565.71,20695.14,0.00,0.00,6588.02,700.00,700.00,0.00,0.00,0.00,20695.14,0.00
14,12/31/1973 12:00 AM,499122.49,0.00,0.00,0.00,50488.35,-50488.35,0.00,6588.02,600.00,600.00,0.00,0.00,0.00,50488.35,0.00
14,01/31/1974 12:00 AM,499122.49,0.00,0.00,0.00,60450.42,-60450.42,10813.67,6588.02,600.00,600.00,0.00,0.00,0.00,60450.42,0.00
14,02/28/1974 12:00 AM,499122.49,0.00,0.00,0.00,102748.71,-102748.71,6808.17,6588.02,500.00,500.00,0.00,0.00,0.00,102748.71,0.00
14,03/31/1974 12:00 AM,499122.49,22865.55,26858.66,0.00,104460.72,-77602.07,12904.09,6588.02,900.01,900.01,0.00,0.00,0.00,104460.72,0.00
14,04/30/1974 12:00 AM,499122.49,34227.08,39721.81,0.00,56773.39,-17051.58,0.00,6588.02,1300.01,1300.01,0.00,0.00,0.00,56773.39,0.00
14,05/31/1974 12:00 AM,499122.49,118730.83,135769.87,53089.87,82681.57,-1.57,0.00,6588.02,1500.01,1500.01,0.00,0.00,0.00,82681.57,0.00
14,06/30/1974 12:00 AM,499122.49,229838.38,271660.03,124764.16,146901.02,-5.15,3872.28,6588.02,1600.01,1600.01,0.00,0.00,0.00,146901.02,0.00
14,07/31/1974 12:00 AM,499122.49,251391.89,302103.13,131430.51,170676.18,-3.56,3676.78,6588.02,1600.01,1600.01,0.00,0.00,0.00,170676.18,0.00
14,08/31/1974 12:00 AM,499122.49,201942.93,243762.14,100326.89,143437.99,-2.75,2759.46,6588.02,1500.01,1500.01,0.00,0.00,0.00,143437.99,0.00
14,09/30/1974 12:00 AM,499122.49,4709.89,5369.63,0.00,36258.25,-30888.62,0.00,6588.02,1300.01,1300.01,0.00,0.00,0.00,36258.25,0.00
14,10/31/1974 12:00 AM,512349.54,68090.97,78967.50,52802.32,26165.18,0.00,0.00,6853.09,800.01,800.01,0.00,0.00,0.00,26165.18,0.00
14,11/30/1974 12:00 AM,512349.54,2885.94,3619.37,0.00,27019.19,-23399.81,0.00,6853.09,700.00,700.00,0.00,0.00,0.00,27019.19,0.00
14,12/31/1974 12:00 AM,512349.54,0.00,0.00,0.00,46314.32,-46314.32,0.00,6853.09,600.00,600.00,0.00,0.00,0.00,46314.32,0.00
14,01/31/1975 12:00 AM,512349.54,20920.60,23124.04,0.00,114160.79,-91036.75,9319.38,6853.09,600.00,600.00,0.00,0.00,0.00,114160.79,0.00
14,02/28/1975 12:00 AM,512349.54,0.00,0.00,0.00,105642.73,-105642.73,13650.36,6853.09,600.00,600.00,0.00,0.00,0.00,105642.73,0.00
14,03/31/1975 12:00 AM,512349.54,48279.60,56967.79,0.00,107447.74,-50479.96,12749.58,6853.09,1100.01,1100.01,0.00,0.00,0.00,107447.74,0.00
