subregion,Time,Ag. Area (AC),Ag. Precip,Ag. Runoff,Ag. Prime Applied Water,Ag. Reused Water,Ag. Total Applied Water,Ag. Return Flow,Ag. Beginning Storage,Ag. Net Gain from Land Expansion (+),AG_INF,AG_ET,Ag. Deep Percolation (-),Ag. Ending Storage (=),Urban Area (AC),Urban Precipitation,Urban Runoff,Urban Prime Applied Water,Urban Reused Water,Urban Total Applied Water,Urban Return Flow,Urban Beginning Storage,Urban Net Gain from Land Expansion (+),URB_INF,URB_ET,Urban Deep Percolation (-),Urban Ending Storage (=),Native&Riparian Veg. Area (AC),Native&Riparian Veg. Precipitation,Native&Riparian Veg. Runoff,Native&Riparian Veg. Beginning Storage,Native&Riparian Veg. Net Gain from Land Expansion (+),NAT_INF,NAT_ET,Native&Riparian Veg. Deep Percolation (-),Native&Riparian Veg. Ending Storage (=)
14,10/31/1972 12:00 AM,485900.40,17550.39,0.00,29967.21,0.00,29967.21,0.00,99115.58,0.00,47517.59,67472.84,0.00,79160.33,6324.03,221.01,0.00,900.01,0.00,900.01,0.00,0.00,0.00,1121.02,587.03,533.99,0.00,178004.44,7340.74,0.00,0.00,0.00,7340.74,7253.74,0.00,87.00
14,11/30/1972 12:00 AM,485900.40,103323.27,4453.19,12998.09,0.00,12998.09,0.00,79160.33,0.00,111868.17,40620.88,0.00,150407.62,6324.03,1364.70,0.00,600.00,0.00,600.00,0.00,0.00,0.00,1964.70,418.23,1069.30,477.17,178004.44,38124.41,1286.21,87.00,0.00,36838.20,19813.54,0.00,17111.66
14,12/31/1972 12:00 AM,485900.40,23913.80,0.00,15810.11,0.00,15810.11,0.00,150407.62,0.00,39723.91,27129.43,0.00,163002.10,6324.03,310.06,0.00,600.00,0.00,600.00,0.00,477.17,0.00,910.06,156.84,672.74,557.66,178004.44,8564.69,0.00,17111.66,0.00,8564.69,5135.01,0.00,20541.34
14,01/31/1973 12:00 AM,485900.40,100774.15,14830.61,32178.22,5688.04,37866.26,20891.59,163002.10,0.00,97230.17,34822.85,27992.33,197417.09,6324.03,1372.58,0.00,600.00,0.00,600.00,0.00,557.66,0.00,1972.58,243.10,1666.20,620.94,178004.44,37621.72,1208.63,20541.34,0.00,36413.09,8720.08,678.54,47555.80
14,02/28/1973 12:00 AM,485900.40,119778.56,35446.18,29760.21,5462.19,35222.40,20062.07,197417.09,0.00,94030.52,52912.04,41118.48,197417.09,6324.03,1570.22,0.00,500.00,0.00,500.00,0.00,620.94,0.00,2070.22,405.16,1665.06,620.94,178004.44,45201.22,2926.28,47555.80,0.00,42274.94,18393.78,4913.42,66523.53
14,03/31/1973 12:00 AM,485900.40,58001.27,873.05,26773.19,2370.70,29143.89,8707.35,197417.09,0.00,75194.06,67054.23,8139.83,197417.09,6324.03,793.03,0.00,600.00,0.00,600.00,0.00,620.94,0.00,1393.04,901.81,678.54,433.63,178004.44,20915.32,70.91,66523.53,0.00,20844.41,45094.44,0.00,42273.50
14,04/30/1973 12:00 AM,485900.40,2100.31,0.00,76806.53,0.00,76806.53,0.00,197417.09,0.00,78906.84,94750.54,0.00,181573.39,6324.03,23.52,0.00,1300.01,0.00,1300.01,0.00,433.63,0.00,1323.53,1085.68,658.94,12.54,178004.44,739.09,0.00,42273.50,0.00,739.09,43012.59,0.00,0.00
14,05/31/1973 12:00 AM,485900.40,549.75,0.00,146724.02,0.00,146724.02,0.00,181573.39,0.00,147273.76,143097.62,0.00,185749.54,6324.03,7.62,0.00,1500.01,0.00,1500.01,0.00,12.54,0.00,1507.63,842.27,677.90,0.00,178004.44,261.28,0.00,0.00,0.00,261.28,261.28,0.00,0.00
14,06/30/1973 12:00 AM,485900.40,0.00,0.00,263092.92,7184.35,270277.27,26387.38,185749.54,0.00,236705.54,198363.13,26674.85,197417.09,6324.03,0.00,0.00,1500.01,0.00,1500.01,0.00,0.00,0.00,1500.01,900.01,600.00,0.00,178004.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,07/31/1973 12:00 AM,485900.40,0.00,0.00,297532.96,3694.42,301227.38,13569.23,197417.09,0.00,283963.72,270246.66,13717.06,197417.09,6324.03,0.00,0.00,1600.01,0.00,1600.01,0.00,0.00,0.00,1600.01,960.01,640.00,0.00,178004.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,08/31/1973 12:00 AM,485900.40,107.94,0.00,234557.82,2451.41,237009.24,9003.79,197417.09,0.00,225661.97,216560.09,9101.88,197417.09,6324.03,0.96,0.00,1500.01,0.00,1500.01,0.00,0.00,0.00,1500.97,900.60,600.37,0.00,178004.44,41.69,0.00,0.00,0.00,41.69,41.69,0.00,0.00
14,09/30/1973 12:00 AM,485900.40,0.00,0.00,31805.22,0.00,31805.22,0.00,197417.09,0.00,31805.22,133702.31,0.00,95520.00,6324.03,0.00,0.00,1200.01,0.00,1200.01,0.00,0.00,0.00,1200.01,720.00,480.00,0.00,178004.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,10/31/1973 12:00 AM,499122.49,24702.35,0.00,22106.15,0.00,22106.15,0.00,95520.00,0.00,46808.50,67739.25,0.00,74589.25,6588.02,304.45,0.00,1000.01,0.00,1000.01,0.00,0.00,0.00,1304.46,688.76,615.69,0.00,164518.37,7832.90,0.00,0.00,0.00,7832.90,7741.38,0.00,91.52
14,11/30/1973 12:00 AM,499122.49,27132.41,0.00,30260.85,0.00,30260.85,0.00,74589.25,0.00,57393.26,41582.77,0.00,90399.74,6588.02,365.54,0.00,700.00,0.00,700.00,0.00,0.00,0.00,1065.54,429.41,628.91,7.23,164518.37,9741.90,0.00,91.52,0.00,9741.90,6145.30,0.00,3688.12
