subregion,Time,Ag. Area (AC),Potential CUAW,Ag. Supply Requirement,Ag. Pumping,Ag. Diversion,Ag. Shortage,Ag. Re-use,Urban Area (AC),Urban Supply Requirement,Urban Pumping,Urban Diversion,Urban Shortage,Urban Re-use,Import,Export
14,10/31/1961 12:00 AM,428819.95,42393.59,48589.62,48590.44,0.00,-0.81,0.00,5058.06,800.01,800.01,0.00,0.00,0.00,0.00,0.00
14,11/30/1961 12:00 AM,428819.95,1119.31,1394.96,1395.01,0.00,-0.05,0.00,5058.06,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,12/31/1961 12:00 AM,428819.95,0.00,0.00,0.00,0.00,0.00,0.00,5058.06,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,01/31/1962 12:00 AM,428819.95,0.00,0.00,0.00,0.00,0.00,0.00,5058.06,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,02/28/1962 12:00 AM,428819.95,0.00,0.00,0.00,0.00,0.00,0.00,5058.06,400.00,400.00,0.00,0.00,0.00,0.00,0.00
14,03/31/1962 12:00 AM,428819.95,4040.75,4681.22,4681.23,0.00,-0.01,0.00,5058.06,700.00,700.00,0.00,0.00,0.00,0.00,0.00
14,04/30/1962 12:00 AM,428819.95,47702.91,54836.72,54837.58,0.00,-0.86,0.00,5058.06,1100.01,1100.01,0.00,0.00,0.00,0.00,0.00
14,05/31/1962 12:00 AM,428819.95,124038.24,140404.67,140407.57,0.00,-2.90,0.00,5058.06,1200.01,1200.01,0.00,0.00,0.00,0.00,0.00
14,06/30/1962 12:00 AM,428819.95,220473.71,257742.02,257748.88,0.00,-6.86,3719.35,5058.06,1200.01,1200.01,0.00,0.00,0.00,0.00,0.00
14,07/31/1962 12:00 AM,428819.95,225001.49,267802.36,267999.15,0.00,-196.79,3405.08,5058.06,1300.01,1300.01,0.00,0.00,0.00,0.00,0.00
14,08/31/1962 12:00 AM,428819.95,174709.59,208959.96,208962.85,0.00,-2.89,2039.89,5058.06,1200.01,1200.01,0.00,0.00,0.00,0.00,0.00
14,09/30/1962 12:00 AM,428819.95,12232.88,13819.75,13819.90,0.00,-0.15,0.00,5058.06,1000.01,1000.01,0.00,0.00,0.00,0.00,0.00
14,10/31/1962 12:00 AM,433253.96,37813.97,43416.71,43417.40,0.00,-0.69,0.00,5101.05,800.01,800.01,0.00,0.00,0.00,0.00,0.00
14,11/30/1962 12:00 AM,433253.96,29731.85,37097.96,37099.06,0.00,-1.09,0.00,5101.05,600.00,600.00,0.00,0.00,0.00,0.00,0.00
14,12/31/1962 12:00 AM,433253.96,0.00,0.00,0.00,0.00,0.00,0.00,5101.05,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,01/31/1963 12:00 AM,433253.96,15272.90,16748.74,16749.82,0.00,-1.07,0.00,5101.05,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,02/28/1963 12:00 AM,433253.96,0.00,0.00,0.00,0.00,0.00,0.00,5101.05,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,03/31/1963 12:00 AM,433253.96,49441.31,57311.01,57312.90,0.00,-1.88,0.00,5101.05,800.01,800.01,0.00,0.00,0.00,0.00,0.00
14,04/30/1963 12:00 AM,433253.96,7547.38,8682.20,8684.26,0.00,-2.06,0.00,5101.05,900.01,900.01,0.00,0.00,0.00,0.00,0.00
14,05/31/1963 12:00 AM,433253.96,116402.14,131860.67,131864.71,0.00,-4.04,0.00,5101.05,1100.01,1100.01,0.00,0.00,0.00,0.00,0.00
14,06/30/1963 12:00 AM,433253.96,219449.08,256619.86,256627.88,0.00,-8.02,2023.90,5101.05,1200.01,1200.01,0.00,0.00,0.00,0.00,0.00
14,07/31/1963 12:00 AM,433253.96,226901.28,270103.56,270325.17,0.00,-221.61,3461.35,5101.05,1300.01,1300.01,0.00,0.00,0.00,0.00,0.00
14,08/31/1963 12:00 AM,433253.96,175579.19,210026.61,210029.55,0.00,-2.94,2039.25,5101.05,1200.01,1200.01,0.00,0.00,0.00,0.00,0.00
14,09/30/1963 12:00 AM,433253.96,8762.25,9905.64,9905.77,0.00,-0.13,0.00,5101.05,1000.01,1000.01,0.00,0.00,0.00,0.00,0.00
14,10/31/1963 12:00 AM,437660.04,11799.91,13571.21,13571.39,0.00,-0.19,0.00,5145.01,700.00,700.00,0.00,0.00,0.00,0.00,0.00
14,11/30/1963 12:00 AM,437660.04,0.00,0.00,0.00,0.00,0.00,0.00,5145.01,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,12/31/1963 12:00 AM,437660.04,0.00,0.00,0.00,0.00,0.00,0.00,5145.01,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,01/31/1964 12:00 AM,437660.04,38377.81,42119.78,41792.49,328.00,-0.71,0.00,5145.01,500.00,500.00,0.00,0.00,0.00,328.00,0.00
14,02/29/1964 12:00 AM,437660.04,25534.18,28071.56,26268.68,1804.01,-1.13,0.00,5145.01,500.00,500.00,0.00,0.00,0.00,1804.01,0.00
14,03/31/1964 12:00 AM,437660.04,66680.88,77337.89,74634.32,2706.02,-2.44,0.00,5145.01,900.01,900.01,0.00,0.00,0.00,2706.02,0.00
14,04/30/1964 12:00 AM,437660.04,45216.94,52051.48,48282.03,3772.03,-2.58,0.00,5145.01,1000.01,1000.01,0.00,0.00,0.00,3772.03,0.00
14,05/31/1964 12:00 AM,437660.04,125891.79,142715.45,138374.46,4346.03,-5.04,0.00,5145.01,1200.01,1200.01,0.00,0.00,0.00,4346.03,0.00
14,06/30/1964 12:00 AM,437660.04,223397.02,261310.97,256481.97,4838.03,-9.04,2066.61,5145.01,1200.01,1200.01,0.00,0.00,0.00,4838.03,0.00
14,07/31/1964 12:00 AM,437660.04,228781.83,272380.76,267045.25,5576.04,-240.53,3488.66,5145.01,1300.01,1300.01,0.00,0.00,0.00,5576.04,0.00
14,08/31/1964 12:00 AM,437660.04,174080.73,208259.28,203014.00,5248.04,-2.76,1975.99,5145.01,1200.01,1200.01,0.00,0.00,0.00,5248.04,0.00
14,09/30/1964 12:00 AM,437660.04,10886.95,12315.78,9609.97,2706.02,-0.20,0.00,5145.01,1000.01,1000.01,0.00,0.00,0.00,2706.02,0.00
14,10/31/1964 12:00 AM,442081.09,12467.51,14362.62,12148.78,2214.02,-0.18,0.00,5232.01,700.00,700.00,0.00,0.00,0.00,2214.02,0.00
14,11/30/1964 12:00 AM,442081.09,10840.23,13551.05,12813.39,738.01,-0.35,0.00,5232.01,500.00,500.00,0.00,0.00,0.00,738.01,0.00
14,12/31/1964 12:00 AM,442081.09,0.00,0.00,0.00,164.00,-164.00,0.00,5232.01,500.00,500.00,0.00,0.00,0.00,164.00,0.00
14,01/31/1965 12:00 AM,442081.09,13118.67,14409.00,14409.60,0.00,-0.60,0.00,5232.01,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,02/28/1965 12:00 AM,442081.09,27739.44,30519.49,28962.50,1558.01,-1.02,0.00,5232.01,500.00,500.00,0.00,0.00,0.00,1558.01,0.00
14,03/31/1965 12:00 AM,442081.09,77388.62,89806.86,87185.10,2624.02,-2.26,0.00,5232.01,900.01,900.01,0.00,0.00,0.00,2624.02,0.00
14,04/30/1965 12:00 AM,442081.09,0.00,0.00,0.00,1558.01,-1558.01,0.00,5232.01,900.01,900.01,0.00,0.00,0.00,1558.01,0.00
14,05/31/1965 12:00 AM,442081.09,130916.96,148523.08,144755.50,3772.03,-4.45,0.00,5232.01,1200.01,1200.01,0.00,0.00,0.00,3772.03,0.00
14,06/30/1965 12:00 AM,442081.09,225432.46,263771.55,259680.00,4100.03,-8.48,2520.59,5232.01,1300.01,1300.01,0.00,0.00,0.00,4100.03,0.00
14,07/31/1965 12:00 AM,442081.09,225700.17,268753.88,264421.23,4592.03,-259.38,3389.22,5232.01,1300.01,1300.01,0.00,0.00,0.00,4592.03,0.00
14,08/31/1965 12:00 AM,442081.09,178516.77,213595.08,209415.95,4182.03,-2.89,2070.01,5232.01,1200.01,1200.01,0.00,0.00,0.00,4182.03,0.00
