subregion,Time,Ag. Area (AC),Ag. Precip,Ag. Runoff,Ag. Prime Applied Water,Ag. Reused Water,Ag. Total Applied Water,Ag. Return Flow,Ag. Beginning Storage,Ag. Net Gain from Land Expansion (+),AG_INF,AG_ET,Ag. Deep Percolation (-),Ag. Ending Storage (=),Urban Area (AC),Urban Precipitation,Urban Runoff,Urban Prime Applied Water,Urban Reused Water,Urban Total Applied Water,Urban Return Flow,Urban Beginning Storage,Urban Net Gain from Land Expansion (+),URB_INF,URB_ET,Urban Deep Percolation (-),Urban Ending Storage (=),Native&Riparian Veg. Area (AC),Native&Riparian Veg. Precipitation,Native&Riparian Veg. Runoff,Native&Riparian Veg. Beginning Storage,Native&Riparian Veg. Net Gain from Land Expansion (+),NAT_INF,NAT_ET,Native&Riparian Veg. Deep Percolation (-),Native&Riparian Veg. Ending Storage (=)
14,10/31/1961 0:00,428819.95,0,0,48590.44,0,48590.44,0,69227.11,-191.68,48590.44,59198.68,0,58427.19,5058.06,0,0,800.01,0,800.01,0,0,9.44,800.01,409.44,400,0,236350.86,0,0,0,182.24,0,179.41,0,2.83
14,11/30/1961 0:00,428819.95,41975.77,215.79,1395.01,0,1395.01,0,58427.19,0,43154.99,35529.21,0,66052.97,5058.06,522.77,0,500,0,500,0,0,0,1022.77,334.51,552.22,136.04,236350.86,24300.65,26.59,2.83,0,24274.06,14997.72,0,9279.18
14,12/31/1961 0:00,428819.95,45396.8,321.89,0,0,0,0,66052.97,0,45074.91,23942.44,0,87185.45,5058.06,579.37,0,500,0,500,0,136.04,0,1079.37,125.44,708.57,381.41,236350.86,25400.23,40.37,9279.18,0,25359.86,7053.74,0,27585.29
14,1/31/1962 0:00,428819.95,38004.43,142.86,0,0,0,0,87185.45,0,37861.56,30732.09,0,94314.92,5058.06,469.96,0,500,0,500,0,381.41,0,969.96,193.93,728.86,428.59,236350.86,21626.49,4.8,27585.29,0,21621.69,9442.82,0,39764.16
14,2/28/1962 0:00,428819.95,138224.82,15463.2,0,0,0,0,94314.92,0,122761.62,46025.63,5811.27,165239.64,5058.06,1749.78,0,400,0,400,0,428.59,0,2149.78,324.05,1794.66,459.65,236350.86,77830.45,8839.77,39764.16,0,68990.68,24422.91,3609.76,80722.16
14,3/31/1962 0:00,428819.95,17924.98,0,4681.23,0,4681.23,0,165239.64,0,22606.21,58284.55,0,129561.3,5058.06,243.05,0,700,0,700,0,459.65,0,943.06,712.47,512.36,177.88,236350.86,10513.53,0,80722.16,0,10513.53,59875.53,0,31360.17
14,4/30/1962 0:00,428819.95,0,0,54837.58,0,54837.58,0,129561.3,0,54837.58,82466.6,0,101932.28,5058.06,0,0,1100.01,0,1100.01,0,177.88,0,1100.01,727.88,550,0,236350.86,0,0,31360.17,0,0,31360.17,0,0
14,5/31/1962 0:00,428819.95,1563.07,0,140407.57,0,140407.57,0,101932.28,0,141970.65,126287.43,0,117615.49,5058.06,22.73,0,1200.01,0,1200.01,0,0,0,1222.74,674.1,548.64,0,236350.86,955.47,0,0,0,955.47,955.47,0,0
14,6/30/1962 0:00,428819.95,0,0,257748.88,3719.35,261468.23,13660.78,117615.49,0,244088.1,179410.67,11202.64,171090.29,5058.06,0,0,1200.01,0,1200.01,0,0,0,1200.01,720,480,0,236350.86,0,0,0,0,0,0,0,0
14,7/31/1962 0:00,428819.95,0,0,267999.15,3405.08,271404.24,12506.52,171090.29,0,255492.63,242395.57,12249.71,171937.65,5058.06,0,0,1300.01,0,1300.01,0,0,0,1300.01,780.01,520,0,236350.86,0,0,0,0,0,0,0,0
14,8/31/1962 0:00,428819.95,0,0,208962.85,2039.89,211002.73,7492.29,171937.65,0,201470.55,193748.19,7722.37,171937.65,5058.06,0,0,1200.01,0,1200.01,0,0,0,1200.01,720,480,0,236350.86,0,0,0,0,0,0,0,0
14,9/30/1962 0:00,428819.95,0,0,13819.9,0,13819.9,0,171937.65,0,13819.9,115631.84,0,70125.7,5058.06,0,0,1000.01,0,1000.01,0,0,0,1000.01,600,400,0,236350.86,0,0,0,0,0,0,0,0
14,10/31/1962 0:00,433253.96,4938.63,0,43417.4,0,43417.4,0,70125.7,-155.23,48356.03,59600.14,0,58726.36,5101.05,45.8,0,800.01,0,800.01,0,0,8.25,845.8,436.65,417.41,0,231873.87,2603.15,0,0,146.98,2603.15,2714.94,0,35.18
14,11/30/1962 0:00,433253.96,132.22,0,37099.06,0,37099.06,0,58726.36,0,37231.28,34713.06,0,61244.58,5101.05,0.75,0,600,0,600,0,0,0,600.76,178.18,420.29,2.29,231873.87,20.89,0,35.18,0,20.89,27.38,0,28.7
14,12/31/1962 0:00,433253.96,27114.99,0.15,0,0,0,0,61244.58,0,27114.84,22861.83,0,65497.6,5101.05,348.86,0,500,0,500,0,2.29,0,848.87,124.52,532.64,193.99,231873.87,15702.28,0,28.7,0,15702.28,3379.73,0,12351.25
14,1/31/1963 0:00,433253.96,34734.41,61.64,16749.82,0,16749.82,0,65497.6,0,51422.59,31049.86,0,85870.33,5101.05,478.79,0,500,0,500,0,193.99,0,978.79,175.58,690.93,306.28,231873.87,21234.18,4.77,12351.25,0,21229.41,6647.01,0,26933.65
14,2/28/1963 0:00,433253.96,68519.55,1529.6,0,0,0,0,85870.33,0,66989.95,46495.76,0,106364.51,5101.05,883.7,0,500,0,500,0,306.28,0,1383.71,326.81,940.8,422.38,231873.87,36816.35,413.52,26933.65,0,36402.83,23821.01,0,39515.47
14,3/31/1963 0:00,433253.96,23943.59,0,57312.9,0,57312.9,0,106364.51,0,81256.49,59598.34,0,128022.66,5101.05,292.83,0,800.01,0,800.01,0,422.38,0,1092.83,727.41,591.28,196.52,231873.87,13668.05,0,39515.47,0,13668.05,52288.68,0,894.84
14,4/30/1963 0:00,433253.96,46371.15,417.79,8684.26,0,8684.26,0,128022.66,0,54637.62,83922.92,0,98737.36,5101.05,561.27,0,900.01,0,900.01,0,196.52,0,1461.28,951.71,668.57,37.52,231873.87,24140.78,29.45,894.84,0,24111.33,25006.17,0,0
14,5/31/1963 0:00,433253.96,15222.97,0,131864.71,0,131864.71,0,98737.36,0,147087.68,127593.24,0,118231.79,5101.05,208.79,0,1100.01,0,1100.01,0,37.52,0,1308.8,771.98,574.34,0,231873.87,8667.54,0,0,0,8667.54,8667.54,0,0
14,6/30/1963 0:00,433253.96,4006.11,0,256627.88,2023.9,258651.77,7433.57,118231.79,0,253200.42,181264.67,16381.4,173786.15,5101.05,46.5,0,1200.01,0,1200.01,0,0,0,1246.51,748.84,497.67,0,231873.87,2236.71,0,0,0,2236.71,2236.71,0,0
14,7/31/1963 0:00,433253.96,0,0,270325.17,3461.35,273786.52,12713.18,173786.15,0,257612,244534.44,13077.56,173786.15,5101.05,0,0,1300.01,0,1300.01,0,0,0,1300.01,780.01,520,0,231873.87,0,0,0,0,0,0,0,0
14,8/31/1963 0:00,433253.96,526.51,0,210029.55,2039.25,212068.81,7489.97,173786.15,0,203066.09,195361.44,7704.65,173786.15,5101.05,4.55,0,1200.01,0,1200.01,0,0,0,1204.56,722.83,481.73,0,231873.87,410.19,0,0,0,410.19,410.19,0,0
14,9/30/1963 0:00,433253.96,4154.13,0,9905.77,0,9905.77,0,173786.15,0,14059.9,116650.73,0,71195.31,5101.05,55.83,0,1000.01,0,1000.01,0,0,0,1055.84,634.62,421.22,0,231873.87,2456.69,0,0,0,2456.69,2456.69,0,0
14,10/31/1963 0:00,437660.04,35585.38,76.46,13571.39,0,13571.39,0,71195.31,-155.7,49080.31,60235.1,0,59884.82,5145.01,424.95,0,700,0,700,0,0,7.44,1124.95,620.23,512.16,0,227423.82,18036.88,0,0,148.27,18036.88,17956.92,0,228.23
14,11/30/1963 0:00,437660.04,49403.17,423.21,0,0,0,0,59884.82,0,48979.96,36663.11,0,72201.66,5145.01,583.93,0,500,0,500,0,0,0,1083.93,340.26,578.22,165.45,227423.82,25995.24,62.43,228.23,0,25932.81,16159.59,0,10001.45
14,12/31/1963 0:00,437660.04,3283.76,0,0,0,0,0,72201.66,0,3283.76,18903.16,0,56582.26,5145.01,39.18,0,500,0,500,0,165.45,0,539.18,122.16,414.89,167.59,227423.82,1603.13,0,10001.45,0,1603.13,2073.15,0,9531.43
14,1/31/1964 0:00,437660.04,31482.78,18.53,42120.49,0,42120.49,0,56582.26,0,73584.74,31365.62,0,98801.38,5145.01,422.39,0,500,0,500,0,167.59,0,922.4,165.61,661.15,263.22,227423.82,18168.5,0,9531.43,0,18168.5,5597.58,0,22102.35
14,2/29/1964 0:00,437660.04,297.04,0,28072.69,0,28072.69,0,98801.38,0,28369.74,46962.97,0,80208.15,5145.01,2.83,0,500,0,500,0,263.22,0,502.83,259.48,501.08,5.49,227423.82,244.08,0,22102.35,0,244.08,11313.88,0,11032.55
14,3/31/1964 0:00,437660.04,32185.52,29.34,77340.34,0,77340.34,0,80208.15,0,109496.52,60319.41,0,129385.26,5145.01,380.64,0,900.01,0,900.01,0,5.49,0,1280.64,601.25,684.88,0,227423.82,16433.51,0,11032.55,0,16433.51,26897.04,0,569.02
